area ;year ;vole_spring;vole_autumn;small_mustelid;generalist_predator;avian_predator 
east ;1991;-0.559814355;0.92440383;0.1812794205;-0.12401429;-0.427502313
east ;1992;0.438567005;0.905193144333333;-0.06479979;0.113654424666667;-0.326576918
east ;1993;-0.782843778;0.975665326;0.1726468166;-0.1713173368;-0.445209387
east ;1994;-1.16623912;-0.3461816005;-0.05188680625;-0.29047484075;-0.458409754
east ;1995;-1.568424074;-0.469076092;-0.523596699;-1.3320629005;-0.58561808
east ;1996;-0.7828842155;0.376353527;0.1896824485;-1.0819912315;-0.450460475
east ;1997;-0.40347938;0.41034013375;0.2712755295;-0.4235567195;-0.55997345
east ;1998;0.0563138883333333;1.02783520766667;0.00104537733333337;-0.204471812666667;-0.42494571
east ;1999;-0.2345188535;0.31702048275;1.0131668795;-0.3215885965;-0.421276397
east ;2000;-0.324665723;0.016930131;1.34378882433333;-0.412204228666667;-0.582200177
east ;2001;-0.726656677333333;0.3900512415;0.641946194333333;-0.298078009666667;-0.626166421
east ;2002;-0.480001968333333;0.948468906333333;0.668496748333333;0.074854682;-0.419526051
east ;2003;NA;NA;NA;NA;NA
east ;2004;-1.366119597;-0.066836613;0.6704851925;-0.6074697535;-0.543253748
east ;2005;-0.425585629666667;0.36584537175;0.0257260772;0.0368207268;-0.684711252
east ;2006;-2.241588335;0.778836551;-0.9747142485;-0.3968368755;-0.361254876
east ;2007;0.283990452666667;1.67534233633333;-0.507662692;-0.4692813685;-0.255287152
east ;2008;-1.99368679133333;-1.85853175533333;0.878842599;0.26524905075;-0.493716751
east ;2009;-2.083518648;0.144135428;-1.6875789095;-0.393529822;-0.81083334
east ;2010;-0.2503967935;1.28522312;-1.79236274733333;-0.940972828333333;-0.148646415
east ;2011;0.999355931;2.6810844585;0.706388949666667;0.0772955486666667;-0.008548189
west;1989;0.2850672156;0.1982101062;0.942514053;0.246016144;0.493572569333333
west;1990;-0.1382014375;0.955415263666667;0.594799217428571;0.893956942142857;-0.135385934428571
west;1991;0.451850289333333;0.644137538666667;-0.147270696;0.9941596715;0.51829550825
west;1992;0.0166358718333333;0.0835731822;0.621979210166667;0.5959888605;0.321908758833333
west;1993;-0.933712706777778;0.115706210833333;0.5902341428;0.5270380946;-0.0283271586
west;1994;0.279223181166667;0.857055920833333;-0.50128984;0.324006312333333;0.479891425666667
west;1995;-0.3944141225;0.4458421145;-0.5480508332;0.071459891;0.170930851
west;1996;-0.378243179333333;0.73273411175;-0.143891250833333;0.3300654645;0.194818163333333
west;1997;-0.508433910666667;0.5778045165;-0.00439444928571428;0.325469824285714;0.352011990285714
west;1998;-0.966044197;-0.116229139666667;-0.082068078;0.4339637085;0.06171502525
west;1999;0.3082091186;1.13584459;-0.0366678192857143;0.172386075428571;0.378138210142857
west;2000;-0.73082246175;-0.89467417475;0.496328751333333;0.730651939;0.262453722666667
west;2001;-1.1464844996;0.451613938;0.043498551;0.656053972166667;0.107294016666667
west;2002;0.50244671075;1.4432681345;-0.8283824644;0.9379434528;0.53912355
west;2003;0.2427913815;0.3807144824;-0.0605310383333333;0.457923841;0.514214299166667
west;2004;-0.291928952333333;0.6216335834;-0.0981726285;0.863959354666667;-0.1964511335
west;2005;-0.012873596;0.7538312345;0.329273153666667;0.606509709666667;0.420020299
west;2006;-1.22204299414286;-1.20398568585714;0.358810282777778;0.385824764444444;0.308870455444444
west;2007;-1.73436670283333;0.5456136575;-0.354852948714286;-0.100966134857143;-0.0897565952857143
